№	Штат	Официальное название	Почтовый код	Дата основания	Население, человек (перепись 2020)	Территория, км²	ВВП на душу населения (2005), дол. США	Административный центр	Крупнейший город 
18	Калифорния	State of California	CA	9 сентября 1850	39 538 223	423 970	44 846	Сакраменто	Лос-Анджелес
19	Канзас	State of Kansas	KS	29 января 1861	2 937 880	213 096	38 419	Топика	Уичито
20	Кентукки	Commonwealth of Kentucky	KY	1 июня 1792	4 505 836	104 659	33 632	Франкфорт	Луисвилл
21	Колорадо	State of Colorado	CO	1 августа 1876	5 773 714	269 837	46 314	Денвер	Денвер
22	Коннектикут	State of Connecticut	CT	9 января 1788	3 605 944	14 357	55 400	Хартфорд	Бриджпорт
23	Луизиана	State of Louisiana État de Louisiane	LA	30 апреля 1812	4 657 757	135 382	36 765	Батон-Руж	Новый Орлеан
24	Массачусетс	Commonwealth of Massachusetts	MA	6 февраля 1788	7 029 917	27 336	51 344	Бостон	Бостон
25	Миннесота	State of Minnesota	MN	11 мая 1858	5 706 494	225 181	45 451	Сент-Пол	Миннеаполис
26	Миссисипи	State of Mississippi	MS	10 декабря 1817	2 961 279	125 443	27 545	Джэксон	Джэксон
27	Миссури	State of Missouri	MO	10 августа 1821	6 154 913	180 533	37 251	Джефферсон-Сити	Канзас-Сити
28	Мичиган	State of Michigan	MI	26 января 1837	10 077 331	250 493	37 338	Лансинг	Детройт
29	Монтана	State of Montana	MT	8 ноября 1889	1 084 225	381 156	31 903	Хелена	Биллингс
30	Мэн	State of Maine	ME	15 марта 1820	1 362 359	91 646	34 105	Огаста	Портленд
31	Мэриленд	State of Maryland	MD	28 апреля 1788	6 177 224	32 133	43 729	Аннаполис	Балтимор
32	Небраска	State of Nebraska	NE	1 марта 1867	1 961 504	200 520	39 950	Линкольн	Омаха
33	Невада	State of Nevada	NV	31 октября 1864	3 104 614	286 367	45 778	Карсон-Сити	Лас-Вегас
34	Нью-Гэмпшир	State of New Hampshire	NH	21 июня 1788	1 377 529	24 217	42 513	Конкорд	Манчестер
35	Нью-Джерси	State of New Jersey	NJ	18 декабря 1787	9 288 994	22 608	49 414	Трентон	Ньюарк
36	Нью-Йорк	State of New York	NY	26 июля 1788	20 201 249	141 300	50 038	Олбани	Нью-Йорк
37	Нью-Мексико	State of New Mexico Estado de Nuevo México	NM	6 января 1912	2 117 522	315 194	35 949	Санта-Фе	Альбукерке
38	Огайо	State of Ohio	OH	1 марта 1803	11 799 448	116 096	38 594	Колумбус	Кливленд
39	Оклахома	State of Oklahoma	OK	16 ноября 1907	3 959 353	181 196	33 978	Оклахома-Сити	Оклахома-Сити
40	Орегон	State of Oregon	OR	14 февраля 1859	4 237 256	255 026	39 920	Сейлем	Портленд
41	Пенсильвания	Commonwealth of Pennsylvania	PA	12 декабря 1787	13 002 700	119 283	39 194	Гаррисберг	Филадельфия
42	Род-Айленд	State of Rhode Island and Providence Plantations	RI	29 мая 1790	1 097 379	4002	40 691	Провиденс	Провиденс
43	Северная Дакота	State of North Dakota	ND	2 ноября 1889	779 094	183 272	37 975	Бисмарк	Фарго
44	Северная Каролина	State of North Carolina	NC	21 ноября 1789	10 439 388	139 509	39 690	Роли	Шарлотт
45	Теннесси	State of Tennessee	TN	1 июня 1796	6 910 840	109 247	37 985	Нашвилл	Мемфис
46	Техас	State of Texas	TX	29 декабря 1845	29 145 505	696 241	42 975	Остин	Хьюстон
47	Флорида	State of Florida	FL	3 марта 1845	21 538 187	170 304	37 889	Таллахасси	Джэксонвилл
48	Южная Дакота	State of South Dakota	SD	2 ноября 1889	886 667	199 905	40 037	Пирр	Су-Фолс
49	Южная Каролина	State of South Carolina	SC	23 мая 1788	5 118 425	82 931	32 848	Колумбия	Колумбия
50	Юта	State of Utah	UT	4 января 1896	3 271 616	219 887	36 377	Солт-Лейк-Сити	Солт-Лейк-Сити
